1,Avatar,http://www.wikidata.org/entity/Q4055418
3,Spectre,http://www.wikidata.org/entity/Q7575235
4,The Dark Knight Rises,http://www.wikidata.org/entity/Q189330
6,Spider-Man 3,http://www.wikidata.org/entity/Q182212
7,Tangled,http://www.wikidata.org/entity/Q1129506
8,Avengers: Age of Ultron,http://www.wikidata.org/entity/Q14171368
9,Harry Potter and the Half-Blood Prince,http://www.wikidata.org/entity/Q161687
10,Batman v Superman: Dawn of Justice,http://www.wikidata.org/entity/Q14772351
11,Superman Returns,http://www.wikidata.org/entity/Q328695
12,Quantum of Solace,http://www.wikidata.org/entity/Q181540
14,The Lone Ranger,http://www.wikidata.org/entity/Q3223824
15,Man of Steel,http://www.wikidata.org/entity/Q622769
17,The Avengers,http://www.wikidata.org/entity/Q494985
19,Men in Black 3,http://www.wikidata.org/entity/Q327713
20,The Hobbit: The Battle of the Five Armies,http://www.wikidata.org/entity/Q919649
21,The Amazing Spider-Man,http://www.wikidata.org/entity/Q229808
22,Robin Hood,http://www.wikidata.org/entity/Q188323
23,The Hobbit: The Desolation of Smaug,http://www.wikidata.org/entity/Q719915
24,The Golden Compass,http://www.wikidata.org/entity/Q637021
25,King Kong,http://www.wikidata.org/entity/Q127421
26,Titanic,http://www.wikidata.org/entity/Q44578
27,Captain America: Civil War,http://www.wikidata.org/entity/Q18407657
