wiki_data_id;title;main_subject;follows;genre;performer;country_of_origin;original_language_of_film_or_TV_show;publication_date;director;screenwriter;cast_member;director_of_photography;film_editor;production_designer;costume_designer;composer;producer;production_company;distributed_by;narrative_location;filming_location;duration;award_received;nominated_for;box_office;cost;collection;imdb_id;metascore;imdbrating;imdbvotes
Q5466990;For a Good Time, Call...;?;?;comedy film;?;United States of America;?;2012-01-01T00:00:00Z;Jamie Travis;Lauren Miller;Martha MacIsaac,Ken Marino,Don McManus,Kevin Smith,Mimi Rogers,Nia Vardalos,Ari Graynor,Sugar Lyn Beard,Seth Rogen,Lauren Miller,Justin Long,James Wolk,Mark Webber;?;?;?;?;John Swihart;?;Focus Features;Focus Features,Netflix,FandangoNow;New York City;Los Angeles,New York City;85;?;?;?;?;?;?;55;6.0;15,793
Q547517;The Animal;?;?;comedy film,science fiction film;?;United States of America;?;2001-09-20T00:00:00Z,2001-01-01T00:00:00Z;Luke Greenfield;Tom Brady,Rob Schneider;Brianna Brown,Michael Papajohn,Norm Macdonald,Michael Caton,Guy Torry,John C. McGinley,Ed Asner,Scott Wilson,Louis Lombardi,Adam Sandler,Colleen Haskell,Rob Schneider;Peter Lyons Collister;Jeff Gourson;?;?;Teddy Castellucci;Adam Sandler,Rob Schneider,Tom Brady;Happy Madison Productions,Revolution Studios;FandangoNow,Columbia Pictures,Netflix;?;?;80;?;?;?;?;?;?;43;4.8;57,575
Q5478692;Frances Ha;?;?;comedy film,coming-of-age story,comedy-drama,drama;?;United States of America;?;2013-10-31T00:00:00Z,2012-09-01T00:00:00Z,2013-08-01T00:00:00Z;Noah Baumbach;Noah Baumbach,Greta Gerwig;Lindsay Burdge,Mickey Sumner,Juliet Rylance,Michael Zegen,Michael Esper,Adam Driver,Maya Kazan,Greta Gerwig;?;?;?;?;?;Scott Rudin;?;Netflix,Hulu,Mozinet,IFC Films;New York City;Paris,California,New York City;86;?;?;?;?;Museum of Modern Art;?;82;7.5;76,758
Q548303;The Tailor of Panama;?;?;thriller film,drama,comedy film,film based on a novel;?;Ireland,United States of America;?;2001-01-01T00:00:00Z,2001-04-26T00:00:00Z;John Boorman;Andrew Davies,John le Carré,John Boorman;Mark Margolis,Ken Jenkins,Martin Savage,Harold Pinter,Dylan Baker,Martin Ferrero,Jon Polito,Daniel Radcliffe,Leonor Varela,David Hayman,Brendan Gleeson,Pierce Brosnan,Jamie Lee Curtis,Catherine McCormack,Paul Birchard,Geoffrey Rush,Jonathan Hyde;Philippe Rousselot;Ronald Davis;?;?;Shaun Davey;John le Carré;Columbia Pictures;InterCom,Netflix,FandangoNow;Panama;Panama,Ireland;105;?;?;?;?;?;?;66;6.1;28,182
Q548888;The Little Vampire;?;?;comedy horror,film based on literature,fantasy film,vampire film,children's film;?;Netherlands,United States of America,Germany;?;2000-01-01T00:00:00Z,2000-09-28T00:00:00Z;Uli Edel;Angela Sommer-Bodenburg,Karey Kirkpatrick,Larry Wilson;Jake D'Arcy,Johnny Meres,Ed Stoppard,Elizabeth Berrington,Dean Cook,Iain De Caestecker,Tommy Hinkley,John Wood,Georgie Glen,Richard E. Grant,Anna Popplewell,Jonathan Lipnicki,Pamela Gidley,Jim Carter,Alice Krige,Rollo Weeks;Bernd Heinl;Peter R. Adam;?;?;Nigel Clarke;Richard Claus;Propaganda Films;Netflix,New Line Cinema,FandangoNow;England;Edinburgh;95;?;?;?;?;?;?;45;5.8;9,783
Q549249;Charlie Bartlett;dysfunctional family;?;teen film,drama,comedy film;?;United States of America;?;2007-01-01T00:00:00Z;Jon Poll;Gustin Nash;Dylan Taylor,Lauren Collins,Jonathan Malen,Kim Roberts,Noam Jenkins,Derek McGrath,Stephen Young,Sarah Gadon,Megan Park,Jake Epstein,David Brown,Drake,Tyler Hilton,Kat Dennings,Robert Downey Jr.,Mark Rendall,Hope Davis,Anton Yelchin;Paul Sarossy;Alan Baumgarten;?;?;Christophe Beck;Jay Roach;Metro-Goldwyn-Mayer;FandangoNow,Netflix,Metro-Goldwyn-Mayer;?;Toronto;97;?;?;?;?;?;?;54;7.0;63,384
Q549263;The Last Exorcism;supernatural;?;pseudo-documentary,horror film,found footage,thriller film,drama;?;United States of America;?;2010-01-01T00:00:00Z,2010-09-30T00:00:00Z;Daniel Stamm;?;Carol Sutton,Louis Herthum,Carol Sutton,Caleb Landry Jones,Iris Bahr,Patrick Fabian,Ashley Bell;?;?;?;?;Nathan Barr;Marc Abraham,Eli Roth,Eric Newman;Strike Entertainment,StudioCanal;Lionsgate,Netflix;Louisiana;New Orleans;87;?;?;?;?;?;?;63;5.6;48,266
Q5494257;Freakonomics;?;?;documentary film;?;United States of America;?;2013-10-24T00:00:00Z,2010-01-01T00:00:00Z;Seth Gordon,Heidi Ewing,Rachel Grady,Alex Gibney,Eugene Jarecki,Morgan Spurlock;?;?;?;?;?;?;Paul Brill;Chad Troutwine;?;Magnolia Pictures,Hulu,Netflix;?;?;?;?;?;?;?;?;?;58;6.4;6,730
Q549574;Firewall;computing;?;crime thriller,action film,drama,crime film;?;United States of America,Australia;?;2006-03-30T00:00:00Z,2006-01-01T00:00:00Z;Richard Loncraine;Joe Forte;Matthew Currie Holmes,Kett Turton,Vince Vieluf,Nikolaj Coster-Waldau,Ona Grauer,Ty Olsson,Eric Keenleyside,Vincent Gale,Robert Patrick,Carly Schroeder,Robert Forster,Paul Bettany,Jimmy Bennett,Mary Lynn Rajskub,Harrison Ford,Alan Arkin,Virginia Madsen;Marco Pontecorvo;Jim Page;?;?;Alexandre Desplat;Armyan Bernstein;Beacon Pictures,Village Roadshow Pictures;FandangoNow,InterCom,Netflix;Seattle;Vancouver;105;?;?;?;?;?;?;45;5.8;56,481
Q549661;High School Musical: El Desafío;?;Q5897598;musical film;?;Argentina;?;2008-01-01T00:00:00Z;Jorge Nisco;?;Gastón Vietto,Alejandra Radano,Juan Alejandro Macedonio,Andrea Del Boca,Adriana Salonia,Mauricio Dayub,Fernando Dente,Liz Solari,Valeria Baroni,Mariana Alonso,Walter Bruno,Federico Salles;?;?;?;?;?;The Walt Disney Company;?;Walt Disney Pictures;?;?;92,90;?;?;?;?;?;?;N/A;3.6;193
